"id","institutioncode","collectioncode","catalognumber","genus","species","subspecies","identifiedby","collectornumber","collector","stateprovince","county","locality","longitude","latitude","municipality_gbif","datsrc","gen_sp"
1144,"Universidade de São Paulo","ESA","95884","Paepalanthus","pulchellus",NA,"L. Echternacht","6206","Paula-Souza, J.; Zuloaga, F.O.; Morrone, O.; Tsuji, R.; Silveira, M.F.","Bahia",NA,"Morro do Pai Inácio. Campo rupestre",-41.473056,-12.455556,"Palmeiras","gbif","Paepalanthus pulchellus"
1145,"Universidade de São Paulo","ESA","95929","Paepalanthus","spathulatus",NA,"M. L. O. Trovó","6251","Paula-Souza, J.; Zuloaga, F.O.; Morrone, O.; Tsuji, R.; Silveira, M.F.","Bahia",NA,"Morro do Pai Inácio. Campo rupestre",-41.473056,-12.455556,"Palmeiras","gbif","Paepalanthus spathulatus"
1146,"Universidade de São Paulo","ESA","95982","Paepalanthus","klotzschianus",NA,"L. Echternacht","6304","Paula-Souza, J.; Zuloaga, F.O.; Morrone, O.; Tsuji, R.; Silveira, M.F.","Bahia",NA,"Estrada para o """"Morrão"""" (Morro do Chapéu) . Ca. 13km da rodovia para Utinga, arredores da antena. Caatinga/Campo rupestre",-41.209444,-11.090833,"Morro do Chapéu","gbif","Paepalanthus klotzschianus"
1147,"Universidade de São Paulo","ESA","95870","Paepalanthus","bifidus",NA,"L. Echternacht","6192","Paula-Souza, J.; Zuloaga, F.O.; Morrone, O.; Tsuji, R.; Silveira, M.F.","Bahia",NA,"Estrada para Ilhéus, km 20. Mata",-39.0325,-15.221111,"Una","gbif","Paepalanthus bifidus"
1149,"Universidade de São Paulo","ESA","95788","Paepalanthus","bifidus",NA,"L. Echternacht","6110","Paula-Souza, J.; Zuloaga, F.O.; Morrone, O.; Tsuji, R.; Silveira, M.F.","Bahia",NA,"Estrada para Barrolândia. Nativo com mata adjacente",-39.171667,-16.0275,"Belmonte","gbif","Paepalanthus bifidus"
1150,"Universidade de São Paulo","ESA","95795","Paepalanthus","klotzschianus",NA,"L. Echternacht","6117","Paula-Souza, J.; Zuloaga, F.O.; Morrone, O.; Tsuji, R.; Silveira, M.F.","Bahia",NA,"Estrada para Barrolândia. Nativo com mata adjacente",-39.034444,-16.025,"Belmonte","gbif","Paepalanthus klotzschianus"
1158,"Universidade de São Paulo","ESA","88342","Paepalanthus","bifidus",NA,"L. Echternacht","29959","Souza, V.C.","Bahia",NA,"Estrada entre o Arraial D'Ajuda e Trancoso, cerca de 10 km de Trancoso. Floresta de Tabuleiro degradada. Solo arenoso.",-39.0546,-16.3221,"Porto Seguro","gbif","Paepalanthus bifidus"
1159,"Universidade de São Paulo","ESA","90114","Paepalanthus","urbanianus",NA,"L. Echternacht","4519","Paula-Souza, J.; Ferrucci, M.S.; Duarte, A.R.; Rando, J.G.; Tsuji, R.","Goias",NA,"Estrada para a Vila de São Jorge, ca. 26,5km da GO-118. Campo limpo com Paepalanthus",-47.732417,-14.136056,"Alto Paraíso de Goiás","gbif","Paepalanthus urbanianus"
1161,"Universidade de São Paulo","ESA","89884","Paepalanthus","chiquitensis",NA,"L. Echternacht","4343","Paula-Souza, J.; Ferrucci, M.S.; Duarte, A.R.; Rando, J.G.; Tsuji, R.","Goias",NA,"Fazenda Rosmarinho. GO-118, a 11km do trevo para Niquelândia e Colinas do Sul. Campo rupestre adjacente ao riozinho",-47.491111,-14.225833,"Alto Paraíso de Goiás","gbif","Paepalanthus chiquitensis"
1180,"Universidade de São Paulo","ESA","82915","Paepalanthus","comans",NA,"L. Echternacht","A 276","Araújo, A.O.; Romão, G.O.; Vieira, S.","Minas Gerais",NA,"estrada Diamantina-Milho Verde, ca. 20 km de Diamantina",-43.3255,-18.2228,"Diamantina","gbif","Paepalanthus comans"
1182,"Universidade de São Paulo","ESA","82281","Paepalanthus","polygonus",NA,"L. Echternacht","134","Araújo, A.O.; Duarte, A.R.; Mazine, F.F.; Tsuji, R.","Minas Gerais",NA,"Ca. 15 km de Diamantina, na rod. Mendanha-Diamantina",-43.522222,-18.181111,"Diamantina","gbif","Paepalanthus polygonus"
1185,"Universidade de São Paulo","ESA","82862","Paepalanthus","macrocephalus",NA,"L. Echternacht","A 223","Araújo, A.O.; Romão, G.O.; Vieira, S.","Minas Gerais",NA,"11 km de Diamantina em direção a Milho Verde",-43.3324,-18.1836,"Diamantina","gbif","Paepalanthus macrocephalus"
1186,"Universidade de São Paulo","ESA","81447","Paepalanthus","trichophyllus",NA,"M. L. O. Trovó","648","Uliana, V.L.C.R.; Elias, S.I.; Forster, W.","Goias",NA,"27 Km de Alto Paraíso. Campo rupestre",-47.2546,-13.5532,"Alto Paraíso","gbif","Paepalanthus trichophyllus"
1188,"Universidade de São Paulo","ESA","81450","Paepalanthus","acanthophyllus",NA,"M. L. O. Trovó","651","Uliana, V.L.C.R.; Elias, S.I.; Forster, W.","Goias",NA,"27 Km de Alto Paraíso. Campo rupestre",-47.2546,-13.5532,"Alto Paraíso","gbif","Paepalanthus acanthophyllus"
1193,"Universidade de São Paulo","ESA","78055","Paepalanthus","argenteus",NA,"L. Echternacht","28557","Souza, V.C.; Romão, G.O.; Sampaio, D.; Araújo, A.O.; Elias, S.I.","Minas Gerais",NA,"Serra do Cipó. Rodovia Belo Horizonte - Conceição do Mato Dentro, km 117",-43.547778,-19.271111,"Santana do Riacho","gbif","Paepalanthus argenteus"
1194,"Universidade de São Paulo","ESA","78014","Paepalanthus","bifidus",NA,"L. Echternacht","28516","Souza, V.C.; Sampaio, D.; Araújo, A.O.; Romão, G.O.; Elias, S.I.","Minas Gerais",NA,"Estrada para Gouveia, ca. 10 km de Serro (km 425). Campo rupestre com mata ciliar adjacente",-43.2842,-18.3426,"Serro","gbif","Paepalanthus bifidus"
1198,"Universidade de São Paulo","ESA","78171","Paepalanthus","lepidus",NA,"L. Echternacht","28673 A","Souza, V.C.; Romão, G.O.; Sampaio, D.","Minas Gerais",NA,"Estrada Santana do Riacho - Lapinha, ca. 7 km após Santana do Riacho. Campo rupestre",-43.4151,-19.0743,"Santana do Riacho","gbif","Paepalanthus lepidus"
1199,"Universidade de São Paulo","ESA","77867","Paepalanthus","comans",NA,"L. Echternacht","28369","Souza, V.C.; Sampaio, D.; Araújo, A.O.; Romão, G.O.; Elias, S.I.","Minas Gerais",NA,"Estrada para Araçuaí, ca. 2km de Diamantina. Campo rupestre",-43.3537,-18.1301,"Diamantina","gbif","Paepalanthus comans"
1200,"Universidade de São Paulo","ESA","78235","Paepalanthus","argenteus",NA,"M. L. O. Trovó","28737 A","Souza, V.C.; Romão, G.O.; Sampaio, D.","Minas Gerais",NA,"Estrada Santana do Riacho - Lapinha, ca. 7 km após Santana do Riacho. Campo rupestre",-43.4156,-19.0704,"Santana do Riacho","gbif","Paepalanthus argenteus"
1201,"Universidade de São Paulo","ESA","78098","Paepalanthus","chlorocephalus",NA,"M. L. O. Trovó","28600","Souza, V.C.; Romão, G.O.; Sampaio, D.; Araújo, A.O.; Elias, S.I.","Minas Gerais",NA,"Serra do Cipó. Rodovia Belo Horizonte - Conceição do Mato Dentro, km 119. Fazenda Cachoeira da Capivara. Campo rupestre com campo arenoso adjacente",-43.544722,-19.249444,"Santana do Riacho","gbif","Paepalanthus chlorocephalus"
1210,"Universidade de São Paulo","ESA","74383","Paepalanthus","regalis",NA,"L. Echternacht","26132","Souza, V.C.; Souza, J.P.; Romão, G.O.; Elias, S.I.","Bahia",NA,"Morro da Antena. Campo rupestre",-41.16,-13.41,"Barra da Estiva","gbif","Paepalanthus regalis"
1212,"Universidade de São Paulo","ESA","73720","Paepalanthus","xanthopus",NA,"M. L. O. Trovó","25469","Souza, V.C.; Souza, J.P.; Romão, G.O.; Araújo, A.O.","Minas Gerais",NA,"Serra do Cabral. Estrada Joaquim Felício - Várzea da Palma, ca. 10 km de Joaquim Felício. Afloramento rochoso com campo arenoso e cerrado adjacentes.",-44.1129,-17.4233,"Joaquim Felício","gbif","Paepalanthus xanthopus"
1215,"Universidade de São Paulo","ESA","73460","Paepalanthus","chlorocephalus",NA,"L. Echternacht","25209","Souza, V.C.; Souza, J.P.; Romão, G.O.; Araújo, A.O.","Minas Gerais",NA,"Serra do Cipó. Próximo à estátua do Juquinha. Campo rupestre.",-43.551111,-19.258333,"Santana do Riacho","gbif","Paepalanthus chlorocephalus"
1236,"Universidade de São Paulo","ESA","64698","Paepalanthus","exiguus",NA,"M. L. O. Trovó","23546","Souza, V.C.; Souza, J.P.; Forster, W.; Mazine, F.F.","Minas Gerais",NA,"Parque Nacional do Caparaó. Morro da Jumenta. Campo de altitude",-41.82,-20.422972,"Alto Caparaó","gbif","Paepalanthus exiguus"
1238,"Universidade de São Paulo","ESA","64670","Paepalanthus","caparoensis",NA,"M. L. O. Trovó","23518","Souza, V.C.; Souza, J.P.; Forster, W.; Mazine, F.F.","Minas Gerais",NA,"Parque Nacional do Caparaó. Beira do Córrego José Pedro (divisa MG/ES). Campo de altitude",-41.7353,-20.445833,"Alto Caparaó","gbif","Paepalanthus caparoensis"
1249,"Universidade de São Paulo","ESA","61503","Paepalanthus","trichophyllus",NA,"F. N. Costa","22996","Souza, V.C.; Souza, J.P.; Elias, S.I.; Forster, W.; Oliveira, A.C.P.","Bahia",NA,"Estrada Piatã - Inúbia. Campo arenoso.",-41.5134,-13.0433,"Piatã","gbif","Paepalanthus trichophyllus"
1262,"Universidade de São Paulo","ESA","61348","Paepalanthus","subtilis",NA,"L. Echternacht","22841","Souza, V.C.; Souza, J.P.; Elias, S.I.; Forster, W.; Oliveira, A.C.P.","Bahia",NA,"Estrada Rio de Contas - Mato Grosso. Campo rupestre.",-41.511,-13.283,"Rio de Contas","gbif","Paepalanthus subtilis"
1273,"Universidade de São Paulo","ESA","60992","Paepalanthus","xanthopus",NA,"L. Echternacht","22487","Souza, V.C.; Souza, J.P.; Elias, S.I.; Forster, W.; Oliveira, A.C.P.","Minas Gerais",NA,"Serra do Cabral. Campo arenoso com cerrado e afloramentos rochosos adjacentes.",-44.1919,-17.7081,"Joaquim Felício","gbif","Paepalanthus xanthopus"
1302,"Universidade de São Paulo","ESA","37994","Paepalanthus","chiquitensis",NA,"M. L. O. Trovó","15351","Souza, V.C.; Souza, J.P.; Astorino, A.; Rezende, M.M.","Mato Grosso",NA,"Ca. 50 Km N (em linha reta) de Tabaporã. Savana Arborizada (cerrado aberto), intercalada com trechos alagados e matas ciliares. Solo arenoso.",-56.383333,-10.75,"Tabaporã","gbif","Paepalanthus chiquitensis"
1303,"Universidade de São Paulo","ESA","37980","Paepalanthus","chiquitensis",NA,"M. L. O. Trovó","16620","Souza, V.C.; Souza, J.P.; Scalon, V.R.; Duarte, A.R.","Mato Grosso",NA,"Arredores da Serra da Bocaina. 15 Km SW (em linha reta) de Alto Paraguai. Estrada para Tira Sentido. Savana arborizada (cerrado) com solo arenoso. Área parcialmente alagável.",-56.35,-14.37,"Alto Paraguai","gbif","Paepalanthus chiquitensis"
1304,"Universidade de São Paulo","ESA","37995","Paepalanthus","chiquitensis",NA,"M. L. O. Trovó","17788","Souza, V.C.; Souza, J.P.; Duarte, A.R.; Miyagi, P.H.","Mato Grosso",NA,"Estrada MT-010. Cerca de 5km do entroncamento com MT-338. Savana arborizada com trechos alagáveis",-56.26,-12.49,"Tapurah","gbif","Paepalanthus chiquitensis"
1424,"Universidade de São Paulo","ESA","120834","Paepalanthus","crinitus",NA,"L. J. Sauthier","420","Delfini, C.","Minas Gerais",NA,"Estrada para Conselheiro Mata, a cerca de 2,5km da bifurcação a partir da estrada Curvelo - Diamantina.",-43.70587,-18.26591,"Diamantina","gbif","Paepalanthus crinitus"
1502,"Instituto de Botânica","SP","487874","Paepalanthus","macer",NA,"M. L. O. Trovó","446","Trovó, MLO; Sano, PT; Nogueira, A; Watanabe, MTC","Goias",NA,"Parque Nacional da Chapada dos Veadeiros, Estrada para o mulungu",-47.642778,-14.108056,"Alto Paraíso de Goiás","gbif","Paepalanthus macer"
1503,"Instituto de Botânica","SP","487874A","Paepalanthus","macer",NA,"M. L. O. Trovó","446","Trovó, MLO; Sano, PT; Nogueira, A; Watanabe, MTC","Goias",NA,"Parque Nacional da Chapada dos Veadeiros, Estrada para o mulungu",-47.642778,-14.108056,"Alto Paraíso de Goiás","gbif","Paepalanthus macer"
1532,"Instituto de Botânica","SP","238396","Paepalanthus","acantholimon",NA,"A. M. Giulietti","705","Clark, L; Morel, M","Minas Gerais",NA,"Parque Nacional do Caparaó",-41.816667,-20.45,"Caparaó","gbif","Paepalanthus acantholimon"
1742,"Instituto de Botânica","SP","161602","Paepalanthus","inopinatus",NA,"A. M. Giulietti","20130","Harley, RM; Mayo, SJ; Storr, RM; Santos, TS; Pinheiro, RS","Bahia",NA,"Between 2.5 and 5 km S of Rio de Contas on side road to W of the road to Livramento, leading to the rio Brumado",-41.833333,-13.6,"Rio de Contas","gbif","Paepalanthus inopinatus"
1747,"Instituto de Botânica","SP","161608","Paepalanthus","contasensis",NA,"A. M. Giulietti","19900","Harley, RM; Mayo, SJ; Storr, RM; Santos, TS; Pinheiro, RS","Bahia",NA,"Ca. 1 km S of village Mato Grosso",-41.816667,-13.483333,"Rio de Contas","gbif","Paepalanthus contasensis"
1765,"USP","SPF","230300","Paepalanthus","elongatus",NA,"R. Ramos","7269","Verdi, M","Goias",NA,"Parque Nacional da Chapada dos Veadeiros",-47.834722,-14.164167,"Alto Paraíso de Goiás","gbif","Paepalanthus elongatulus"
1768,"USP","SPF","230321","Paepalanthus","nigrescens",NA,"M. L. O. Trovó","6454","Verdi, M","Minas Gerais",NA,"APA Morro da Pedreira",-43.553333,-19.257222,"Santana do Riacho","gbif","Paepalanthus nigrescens"
1769,"USP","SPF","230320","Paepalanthus","chrysolepis",NA,"M. L. O. Trovó","6860","Verdi, M","Minas Gerais",NA,NA,-43.763333,-18.2825,"Diamantina","gbif","Paepalanthus chrysolepis"
1770,"USP","SPF","230332","Paepalanthus","argenteus",NA,"R. Ramos","6998","Verdi, M","Minas Gerais",NA,"Parque Estadual do Biribiri",-43.543889,-18.159167,"Diamantina","gbif","Paepalanthus argenteus"
1772,"USP","SPF","230316","Paepalanthus","comans",NA,"R. Ramos","6832","Verdi, M","Minas Gerais",NA,NA,-43.762778,-18.284167,"Diamantina","gbif","Paepalanthus comans"
1775,"USP","SPF","230393","Paepalanthus","melaleucus",NA,"L. J. Sauthier","510","Delfini-Feliciano, C","Minas Gerais",NA,"Parque Nacional da Serra da Canastra",-46.520736,-20.27972,"São Roque de Minas","gbif","Paepalanthus melaleucus"
1777,"USP","SPF","230396","Paepalanthus","albiceps",NA,"R. Ramos","714","Góes-Neto, LAA","Minas Gerais",NA,"Parque Estadual de Serra Nova",-42.766111,-15.661667,"Rio Pardo de Minas","gbif","Paepalanthus albiceps"
1778,"USP","SPF","230330","Paepalanthus","paulinus",NA,"M. L. O. Trovó","6445","Verdi, M","Minas Gerais",NA,"APA Morro da Pedreira",-43.553333,-19.290556,"Santana do Riacho","gbif","Paepalanthus paulinus"
1780,"USP","SPF","230352","Paepalanthus","falcatus",NA,"R. Ramos","6154","Faria, JEQ","Minas Gerais",NA,"Serra do Cipó",-43.551111,-19.256944,"Santana do Riacho","gbif","Paepalanthus pedunculatus"
1785,"USP","SPF","230347","Paepalanthus","bryoides",NA,"R. Ramos","6225","Faria, JEQ","Minas Gerais",NA,NA,-43.611944,-18.261667,"Diamantina","gbif","Paepalanthus bryoides"
1787,"USP","SPF","230350","Paepalanthus","eriophaeus",NA,"R. Ramos","6584","Faria, JEQ","Minas Gerais",NA,NA,-43.586944,-18.214167,"Diamantina","gbif","Paepalanthus eriophaeus"
1790,"USP","SPF","230349","Paepalanthus","argenteus","argenteus","R. Ramos","6585","Faria, JEQ","Minas Gerais",NA,NA,-43.586944,-18.214167,"Diamantina","gbif","Paepalanthus argenteus"
1792,"USP","SPF","230344","Paepalanthus","gardnerianus",NA,"R. Ramos","18799","Martinelli, G","Minas Gerais",NA,"Parque Estadual do Rio Preto",-43.371667,-18.130833,"São Gonçalo do Rio Preto","gbif","Paepalanthus gardnerianus"
1793,"USP","SPF","230389","Paepalanthus","falcatus",NA,"R. Ramos","359","Delfini-Feliciano, C","Minas Gerais",NA,"Milho Verde",-43.487552,-18.57294,"Serro","gbif","Paepalanthus pedunculatus"
1794,"USP","SPF","230334","Paepalanthus","planifolius",NA,"M. L. O. Trovó","6923","Verdi, M","Minas Gerais",NA,"Monumento Natural Estadual Várzea do Lajeado e Ser, APA Águas Vertentes.",-43.492222,-18.4675,"Serro","gbif","Paepalanthus planifolius"
1798,"USP","SPF","230394","Paepalanthus","crinitus",NA,"L. J. Sauthier","420","Delfini-Feliciano, C","Minas Gerais",NA,NA,-43.70587,-18.26591,"Diamantina","gbif","Paepalanthus crinitus"
1800,"USP","SPF","230324","Paepalanthus","planifolius",NA,"M. L. O. Trovó","6944","Verdi, M","Minas Gerais",NA,"Monumento Natural Estadual Várzea do Lajeado e Ser",-43.489722,-18.470556,"Serro","gbif","Paepalanthus planifolius"
1844,"Universidade Federal Rural de Pernambuco","HST","17854","Paepalanthus","spathulatus",NA,"C. O. Andrino","PCD 2892","M.L.Guedes; R.Harley, B.Stannard, E.Woodgyer","Bahia",NA,"caminho para Pingadeira",-40.490556,-11.305833,"Jacobina","gbif","Paepalanthus spathulatus"
1855,"Universidade Federal Rural de Pernambuco","HST","11362","Paepalanthus","bifidus",NA,"E. B. Miranda","160","E.Miranda-Silva; E.Melo, F.França, L.R.Senna & B.M.Silva","Bahia",NA,NA,-40.306944,-10.513611,"Campo Formoso","gbif","Paepalanthus bifidus"
1870,"UFOP","OUPR","33185","Paepalanthus","villosulus",NA,"L. J. Sauthier","2293","Echternacht, L.","Minas Gerais",NA,"MG RPPN Brumas do Espinhaço e Ermo das Gerais.",-43.724167,-19.020833,"Santana do Riacho","gbif","Paepalanthus villosulus"
1878,"UFOP","OUPR","33182","Paepalanthus","argenteus",NA,"L. Echternacht","456","Ferreira Junior, C.A.; et al.","Minas Gerais",NA,"MG RPPN Brumas do Espinhaço e Ermo das Gerais.",-43.717222,-19.033056,"Santana do Riacho","gbif","Paepalanthus argenteus"
1883,"UFOP","OUPR","33175","Paepalanthus","exiguus",NA,"L. Echternacht","3801","Rezende, S.G.; et al.","Minas Gerais",NA,"Mina da Samarco. Norte de Alegria 1 e 6, sobre minério de ferro.",-43.514722,-21.536111,"Mariana","gbif","Paepalanthus exiguus"
1885,"UFOP","OUPR","33173","Paepalanthus","elongatus",NA,"L. Echternacht","1229","Rezende, S.G.; Werneck, M.S. & Mendes, M.S.","Minas Gerais",NA,"Região do Gambá.",-43.863611,-20.443611,"Ouro Preto","gbif","Paepalanthus elongatulus"
