"taxa","suggested"
"Paepalanthus brachyphyllus","Paepalanthus brachyphyllus"
"Paepalanthus brachypus brevipilosus",NA
"Paepalanthus brachypus","Paepalanthus brachypus"
"Paepalanthus brevis","Paepalanthus brevis"
"Paepalanthus bromelioides","Paepalanthus bromelioides"
"Paepalanthus broyoides","Paepalanthus bryoides"
"Paepalanthus brunescens","Paepalanthus brunnescens"
"Paepalanthus brunnescens","Paepalanthus brunnescens"
"Paepalanthus bryoides","Paepalanthus bryoides"
"Paepalanthus bulbosus","Paepalanthus bulbosus"
"Paepalanthus cachambuensis","Paepalanthus cachambuensis"
"Paepalanthus cacuminis","Paepalanthus cacuminis"
"Paepalanthus caespititius","Paepalanthus caespititius"
"Paepalanthus caespititus","Paepalanthus caespititius"
"Paepalanthus caldensis","Paepalanthus caldensis"
"Paepalanthus callocephalus villosus","Paepalanthus callocephalus var. villosus"
"Paepalanthus calulus","Paepalanthus calvulus"
"Paepalanthus calvoides","Paepalanthus calvoides"
"Paepalanthus calvulus","Paepalanthus calvulus"
"Paepalanthus calvus","Paepalanthus calvus"
"Paepalanthus camptophyllus","Paepalanthus camptophyllus"
"Paepalanthus canastrensis","Paepalanthus canastrensis"
"Paepalanthus candidus","Paepalanthus candidus"
"Paepalanthus canescens atratus","Paepalanthus canescens var. atratus"
"Paepalanthus canescens","Paepalanthus canescens"
"Paepalanthus capanemae","Paepalanthus capanemae"
"Paepalanthus capaöensis","Paepalanthus caparoensis"
"Paepalanthus caparoensis","Paepalanthus caparoensis"
"Paepalanthus capillare","Paepalanthus capillaris"
"Paepalanthus capillaris","Paepalanthus capillaris"
"Paepalanthus capillatus","Paepalanthus capillatus"
"Paepalanthus capillifolius","Paepalanthus capillifolius"
"Paepalanthus capitatus","Paepalanthus capitatus"
"Paepalanthus capito","Paepalanthus capito"
"Paepalanthus carvalhoi","Paepalanthus carvalhoi"
"Paepalanthus cassiae","Paepalanthus chaseae"
"Paepalanthus castaneus","Paepalanthus castaneus"
"Paepalanthus catharinae","Paepalanthus catharinae"
"Paepalanthus cephalopus","Paepalanthus cephalopus"
"Paepalanthus cephalotrichus","Paepalanthus cephalotrichus"
"Paepalanthus chapadensis","Paepalanthus chapadensis"
"Paepalanthus chiquetensis","Paepalanthus chiquitensis"
"Paepalanthus chiquitensis","Paepalanthus chiquitensis"
"Paepalanthus chloeocephalus","Paepalanthus chlorocephalus"
"Paepalanthus chloroblepharus","Paepalanthus chloroblepharus"
"Paepalanthus chlorocephalus chlorocephalus","Paepalanthus callocephalus var. callocephalus"
"Paepalanthus chlorocephalus f. parviflorus",NA
"Paepalanthus chlorocephalus","Paepalanthus chlorocephalus"
"Paepalanthus chlorocephalus parviflorus","Paepalanthus callocephalus var. villosus"
"Paepalanthus chloronema","Paepalanthus chloronema"
"Paepalanthus chlorophyllus","Paepalanthus chlorophyllus"
"Paepalanthus chrysolepis","Paepalanthus chrysolepis"
"Paepalanthus chrysolepsis","Paepalanthus chrysolepis"
"Paepalanthus chrysophorus","Paepalanthus chrysophorus"
"Paepalanthus ciliatus","Paepalanthus ciliatus"
"Paepalanthus ciliolatus","Paepalanthus ciliolatus"
"Paepalanthus cinereus","Paepalanthus cinereus"
"Paepalanthus cipoensis","Paepalanthus cipoensis"
"Paepalanthus clausenii","Paepalanthus clausenii"
"Paepalanthus clausseniananus","Paepalanthus claussenianus"
"Paepalanthus claussenianus","Paepalanthus claussenianus"
"Paepalanthus coloides","Paepalanthus coloides"
"Paepalanthus comans","Paepalanthus comans"
"Paepalanthus comosus","Paepalanthus comosus"
"Paepalanthus complanatus","Paepalanthus complanatus"
"Paepalanthus conduplicatus conduplicatus","Paepalanthus conduplicatus var. conduplicatus"
"Paepalanthus conduplicatus","Paepalanthus conduplicatus"
"Paepalanthus conduplicatus pubescens","Paepalanthus conduplicatus var. pubescens"
"Paepalanthus conicus","Paepalanthus conicus"
"Paepalanthus conjunctus","Paepalanthus conjunctus"
"Paepalanthus contasensis","Paepalanthus contasensis"
"Paepalanthus convexus","Paepalanthus congestus"
"Paepalanthus cordatus","Paepalanthus cordatus"
"Paepalanthus corymboides","Paepalanthus corymboides"
"Paepalanthus corymbosus","Paepalanthus corymbosus"
"Paepalanthus coutöensis","Paepalanthus coutoensis"
"Paepalanthus crateriformis","Paepalanthus crateriformis"
"Paepalanthus crinitus","Paepalanthus crinitus"
"Paepalanthus cryocephalus","Paepalanthus cryocephalus"
"Paepalanthus cururensis","Paepalanthus cururensis"
"Paepalanthus cuspidatus","Paepalanthus cuspidatus"
"Paepalanthus cylindraceus","Paepalanthus cylindraceus"
"Paepalanthus dasynema","Paepalanthus dasynema"
"Paepalanthus decipiens","Paepalanthus decipiens"
"Paepalanthus densiflorus","Paepalanthus densiflorus"
"Paepalanthus densifolios","Paepalanthus densifolius"
"Paepalanthus densifolius","Paepalanthus densifolius"
"Paepalanthus denudatus","Paepalanthus denudatus"
"Paepalanthus desperado","Paepalanthus desperado"
"Paepalanthus diamantinensis","Paepalanthus diamantinensis"
"Paepalanthus dianthoides","Paepalanthus dianthoides"
"Paepalanthus dichotomus","Paepalanthus dichotomus"
"Paepalanthus dichromolepis","Paepalanthus dichromolepis"
"Paepalanthus diffusus","Paepalanthus diffusus"
"Paepalanthus digitiformis","Paepalanthus digitiformis"
"Paepalanthus diplobetor","Paepalanthus diplobetor"
"Paepalanthus distichophyllus gardneri","Paepalanthus distichophyllus var. gardneri"
"Paepalanthus distichophyllus","Paepalanthus distichophyllus"
"Paepalanthus divaricatus","Paepalanthus divaricatus"
"Paepalanthus divaricatus var. latifolia","Paepalanthus divaricatus var. latifolia"
"Paepalanthus dupatya","Paepalanthus dupatya"
"Paepalanthus echinoides","Paepalanthus echinoides"
"Paepalanthus elatus calvulus","Paepalanthus elatus var. calvulus"
"Paepalanthus elatus","Paepalanthus elatus"
"Paepalanthus elongatulus","Paepalanthus elongatulus"
"Paepalanthus elongatus angustifolia","Paepalanthus elongatus var. angustifolius"
"Paepalanthus elongatus angustifolius","Paepalanthus elongatus var. angustifolius"
"Paepalanthus elongatus ciliatus","Paepalanthus elongatus var. ciliatus"
"Paepalanthus elongatus elongatus","Paepalanthus elongatus var. elongatus"
"Paepalanthus elongatus glabrescens","Paepalanthus elongatus var. glabrescens"
"Paepalanthus elongatus graminifolius","Paepalanthus elongatus var. graminifolius"
"Paepalanthus elongatus helichrysoides","Paepalanthus elongatus var. helichrysoides"
"Paepalanthus elongatus longibracteatus","Paepalanthus elongatus var. longibracteatus"
"Paepalanthus elongatus longicaulis",NA
"Paepalanthus elongatus","Paepalanthus elongatus"
"Paepalanthus elongatus niger","Paepalanthus elongatus var. niger"
"Paepalanthus elongatus pubescens","Paepalanthus elongatus var. pubescens"
"Paepalanthus erctifolius","Paepalanthus erectifolius"
"Paepalanthus erectifolius grandifolia","Paepalanthus erectifolius var. grandifolia"
"Paepalanthus erectifolius","Paepalanthus erectifolius"
"Paepalanthus erictfolius","Paepalanthus erectifolius"
"Paepalanthus erigeron","Paepalanthus erigeron"
"Paepalanthus erigeron pubescens","Paepalanthus erigeron var. pubescens"
"Paepalanthus eriocauloides","Paepalanthus eriocauloides"
"Paepalanthus eriophaeus","Paepalanthus eriophaeus"
"Paepalanthus euryphyllus","Paepalanthus euryphyllus"
"Paepalanthus exiguus","Paepalanthus exiguus"
"Paepalanthus extremensis","Paepalanthus extremensis"
"Paepalanthus falcatus","Paepalanthus falcatus"
"Paepalanthus fasciculatus icanensis",NA
"Paepalanthus fasciculatus","Paepalanthus fasciculatus"
"Paepalanthus fasciculatus sphaerocephala",NA
"Paepalanthus fasciculatus sphaerocephalus",NA
"Paepalanthus fasciculifer capillifolius","Paepalanthus fasciculifer var. capillifolius"
"Paepalanthus fasciculifer","Paepalanthus fasciculifer"
"Paepalanthus fastigiatus","Paepalanthus fastigiatus"
"Paepalanthus filifolius","Paepalanthus falcifolius"
"Paepalanthus filosus","Paepalanthus filosus"
"Paepalanthus fimbriatus","Paepalanthus fimbriatus"
"Paepalanthus flaccidus","Paepalanthus flaccidus"
"Paepalanthus flavidulus","Paepalanthus flavorutilus"
"Paepalanthus flavorutilus","Paepalanthus flavorutilus"
"Paepalanthus flexuosus","Paepalanthus flexuosus"
"Paepalanthus freyreisii","Paepalanthus freyreissii"
"Paepalanthus freyreissii","Paepalanthus freyreissii"
"Paepalanthus freyreysii","Paepalanthus freyreissii"
"Paepalanthus fuscus","Paepalanthus fuscus"
"Paepalanthus gardnerianus","Paepalanthus gardnerianus"
"Paepalanthus garimpensis","Paepalanthus garimpensis"
"Paepalanthus geniculatus","Paepalanthus geniculatus"
"Paepalanthus gibbosus","Paepalanthus gibbosus"
"Paepalanthus giganteus","Paepalanthus giganteus"
"Paepalanthus glabrifolius","Paepalanthus glabrifolius"
"Paepalanthus glareosus","Paepalanthus glareosus"
"Paepalanthus glaziovii","Paepalanthus glaziovii"
"Paepalanthus gleasonii","Paepalanthus gleasonii"
"Paepalanthus globosus","Paepalanthus globosus"
"Paepalanthus globulifer","Paepalanthus globulifer"
"Paepalanthus gneissicola","Paepalanthus gneissicola"
"Paepalanthus gomesii","Paepalanthus gomesii"
"Paepalanthus goncalensis","Paepalanthus goncalensis"
"Paepalanthus goyazensis","Paepalanthus goyazensis"
"Paepalanthus gracilis","Paepalanthus gracilis"
"Paepalanthus grandiflorus","Paepalanthus parviflorus"
"Paepalanthus grao-mogolensis","Paepalanthus grao-mogolensis"
"Paepalanthus graomogolensis","Paepalanthus grao-mogolensis"
"Paepalanthus graomongolensis","Paepalanthus grao-mogolensis"
"Paepalanthus guaraiensis","Paepalanthus guaraiensis"
"Paepalanthus gustavii","Paepalanthus gustavii"
"Paepalanthus gyrotrichus","Paepalanthus gyrotrichus"
"Paepalanthus habenulifer","Paepalanthus habenulifer"
"Paepalanthus harleyi","Paepalanthus harleyi"
"Paepalanthus harmsii","Paepalanthus harmsii"
"Paepalanthus hatschbachii","Paepalanthus hatschbachii"
"Paepalanthus helichrysoides","Paepalanthus helichrysoides"
"Paepalanthus helminthorrhizus","Paepalanthus helminthorrhizus"
"Paepalanthus henriquei","Paepalanthus henriquei"
"Paepalanthus heteropus","Paepalanthus heteropus"
"Paepalanthus heterotrichus","Paepalanthus heterotrichus"
"Paepalanthus hilairei","Paepalanthus hilairei"
"Paepalanthus hispidissimus","Paepalanthus hispidissimus"
"Paepalanthus homomallus","Paepalanthus homomallus"
"Paepalanthus hydra","Paepalanthus hydra"
"Paepalanthus hymenolepis","Paepalanthus hymenolepis"
"Paepalanthus implicatus","Paepalanthus implicatus"
"Paepalanthus incanus","Paepalanthus incanus"
"Paepalanthus inopinatus","Paepalanthus inopinatus"
"Paepalanthus itacambirensis","Paepalanthus itacambirensis"
"Paepalanthus itambeensis","Paepalanthus itambeensis"
"Paepalanthus itatiaiensis","Paepalanthus itatiaiensis"
"Paepalanthus ithyphyllus","Paepalanthus ithyphyllus"
"Paepalanthus jordanensis","Paepalanthus jordanensis"
"Paepalanthus klotzschiaanus","Paepalanthus klotzschianus"
"Paepalanthus klotzschianus","Paepalanthus klotzschianus"
"Paepalanthus koernickei","Paepalanthus koernickei"
"Paepalanthus lamarckii","Paepalanthus lamarckii"
"Paepalanthus lamarkii","Paepalanthus lamarckii"
"Paepalanthus lanatoalbus","Paepalanthus lanatoalbus"
"Paepalanthus lanatus","Paepalanthus lanatus"
"Paepalanthus lanceolatus","Paepalanthus lanceolatus"
"Paepalanthus langsdorffii caracencis","Paepalanthus langsdorffii var. caracensis"
"Paepalanthus langsdorffii caracensis","Paepalanthus langsdorffii var. caracensis"
"Paepalanthus langsdorffii","Paepalanthus langsdorffii"
"Paepalanthus lanuginosus","Paepalanthus lanuginosus"
"Paepalanthus latifolius","Paepalanthus latifolius"
"Paepalanthus latipes","Paepalanthus latipes"
"Paepalanthus laxifolius","Paepalanthus laxifolius"
"Paepalanthus leiothricoides","Paepalanthus leiothricoides"
"Paepalanthus leiseringii","Paepalanthus leiseringii"
"Paepalanthus lepidus","Paepalanthus lepidus"
"Paepalanthus leucoblepharus","Paepalanthus leucoblepharus"
"Paepalanthus leucocephalus","Paepalanthus leucocephalus"
"Paepalanthus lingulatus","Paepalanthus lingulatus"
"Paepalanthus longibracteatus","Paepalanthus longiciliatus"
"Paepalanthus longicaulis glaber","Paepalanthus longicaulis var. glaber"
"Paepalanthus longicaulis","Paepalanthus longicaulis"
"Paepalanthus longiciliatus","Paepalanthus longiciliatus"
"Paepalanthus longifolius","Paepalanthus longifolius"
"Paepalanthus longipes","Paepalanthus latipes"
"Paepalanthus luetzelburgii","Paepalanthus luetzelburgii"
"Paepalanthus lundii","Paepalanthus lundii"
"Paepalanthus lycopodioides","Paepalanthus lycopodioides"
"Paepalanthus macaheensis","Paepalanthus macaheensis"
"Paepalanthus macer","Paepalanthus macer"
"Paepalanthus macer sp.","Paepalanthus sp."
"Paepalanthus macrocaulon contasensis","Paepalanthus macrocaulon var. contasensis"
"Paepalanthus macrocaulon kingii","Paepalanthus macrocaulon var. kingii"
"Paepalanthus macrocaulon","Paepalanthus macrocaulon"
"Paepalanthus macrocephalus minarum","Paepalanthus macrocephalus var. minarum"
"Paepalanthus macrocephalus","Paepalanthus macrocephalus"
"Paepalanthus macropodus glaber","Paepalanthus macropodus var. glaber"
"Paepalanthus macropodus","Paepalanthus macropodus"
"Paepalanthus macrotrichus","Paepalanthus macrotrichus"
"Paepalanthus macrotrichus puberulus","Paepalanthus macrotrichus var. puberulus"
"Paepalanthus magalhaesii","Paepalanthus magalhaesii"
"Paepalanthus manicatus f. robusta",NA
"Paepalanthus manicatus","Paepalanthus manicatus"
"Paepalanthus manicatus robusta",NA
"Paepalanthus melaleucus","Paepalanthus melaleucus"
"Paepalanthus melanthus","Paepalanthus melanthus"
"Paepalanthus mendoncianus","Paepalanthus mendoncianus"
"Paepalanthus mexiae","Paepalanthus mexiae"
"Paepalanthus microcaulon","Paepalanthus microcaulon"
"Paepalanthus microphyllus","Paepalanthus microphyllus"
"Paepalanthus minasensis","Paepalanthus minasensis"
"Paepalanthus minutulus","Paepalanthus minutulus"
"Paepalanthus mirabilis","Paepalanthus mirabilis"
"Paepalanthus miser","Paepalanthus miser"
"Paepalanthus modestus","Paepalanthus congestus"
"Paepalanthus moedensis","Paepalanthus moedensis"
"Paepalanthus mollis itambeensis","Paepalanthus mollis var. itambeensis"
"Paepalanthus mollis mollis","Paepalanthus mollis var. mollis"
"Paepalanthus mollis","Paepalanthus mollis"
"Paepalanthus multicapitatus","Paepalanthus multicostatus"
"Paepalanthus multicostatus","Paepalanthus multicostatus"
"Paepalanthus myocephalus minor","Paepalanthus myocephalus var. minor"
"Paepalanthus myocephalus","Paepalanthus myocephalus"
"Paepalanthus myriophyllus","Paepalanthus myriophyllus"
"Paepalanthus nanus","Paepalanthus nanus"
"Paepalanthus neglectus","Paepalanthus neglectus"
"Paepalanthus neocaldensis","Paepalanthus neocaldensis"
"Paepalanthus niger","Paepalanthus miser"
"Paepalanthus nigrescens","Paepalanthus nigrescens"
"Paepalanthus nigrescens pilosus","Paepalanthus nigrescens var. pilosus"
"Paepalanthus nigrescens var. pilosa","Paepalanthus nigrescens var. pilosus"
"Paepalanthus nigricaulis","Paepalanthus nigricaulis"
"Paepalanthus niveo-niger","Paepalanthus niveoniger"
"Paepalanthus niveoniger","Paepalanthus niveoniger"
"Paepalanthus nubigena","Paepalanthus nubigena"
"Paepalanthus nudus","Paepalanthus nudus"
"Paepalanthus oblongifolius","Paepalanthus oblongifolius"
"Paepalanthus obtusifolius","Paepalanthus obtusifolius"
"Paepalanthus oerstedianus","Paepalanthus oerstedianus"
"Paepalanthus ovatus","Paepalanthus ovatus"
"Paepalanthus oxyphyllus","Paepalanthus oxyphyllus"
"Paepalanthus pallidus","Paepalanthus pallidus"
"Paepalanthus parviflorus","Paepalanthus parviflorus"
"Paepalanthus parvus","Paepalanthus parvus"
"Paepalanthus pauciflorus","Paepalanthus pauciflorus"
"Paepalanthus paulinus","Paepalanthus paulinus"
"Paepalanthus pauperrimus","Paepalanthus pauperrimus"
"Paepalanthus pedunculatus","Paepalanthus pedunculatus"
"Paepalanthus perbracchiatus","Paepalanthus perbracchiatus"
"Paepalanthus percrassus","Paepalanthus percrassus"
"Paepalanthus perpusillus","Paepalanthus perpusillus"
"Paepalanthus phaeocephalus foliosus","Paepalanthus phaeocephalus var. foliosus"
"Paepalanthus phaeocephalus","Paepalanthus phaeocephalus"
"Paepalanthus pilifer","Paepalanthus pilifer"
"Paepalanthus pilulifer","Paepalanthus pilulifer"
"Paepalanthus plagiostigma","Paepalanthus plagiostigma"
"Paepalanthus planifolius","Paepalanthus planifolius"
"Paepalanthus planifolius villosus","Paepalanthus planifolius var. villosus"
"Paepalanthus plantagineus","Paepalanthus plantagineus"
"Paepalanthus plantago","Paepalanthus plantago"
"Paepalanthus plumipes","Paepalanthus plumipes"
"Paepalanthus plumosus","Paepalanthus plumosus"
"Paepalanthus polyandrus","Paepalanthus polyandrus"
"Paepalanthus polyanthus","Paepalanthus polyanthus"
"Paepalanthus polycladus","Paepalanthus polycladus"
"Paepalanthus polygonus","Paepalanthus polygonus"
"Paepalanthus polytrichoides glaber","Paepalanthus polytrichoides var. glaber"
"Paepalanthus polytrichoides","Paepalanthus polytrichoides"
"Paepalanthus praemorsus","Paepalanthus praemorsus"
"Paepalanthus prostratum","Paepalanthus prostratus"
"Paepalanthus prostratus","Paepalanthus prostratus"
"Paepalanthus pruinosus","Paepalanthus pruinosus"
"Paepalanthus pseudoelongatus","Paepalanthus pseudoelongatus"
"Paepalanthus pseudotortilis","Paepalanthus pseudotortilis"
"Paepalanthus pubescens","Paepalanthus pubescens"
"Paepalanthus pulchellus","Paepalanthus pulchellus"
"Paepalanthus pulchellus puberulentus","Paepalanthus pulchellus var. puberulentus"
"Paepalanthus pullus","Paepalanthus pullus"
"Paepalanthus pulvinatus","Paepalanthus pulvinatus"
"Paepalanthus ramosissimus","Paepalanthus ramosissimus"
"Paepalanthus ramosus affinis","Paepalanthus ramosus var. affinis"
"Paepalanthus ramosus","Paepalanthus ramosus"
"Paepalanthus rectifolius","Paepalanthus rectifolius"
"Paepalanthus reflexus","Paepalanthus reflexus"
"Paepalanthus refractifolius","Paepalanthus refractifolius"
"Paepalanthus regalis","Paepalanthus regalis"
"Paepalanthus regalis recurva","Paepalanthus regalis var. recurvata"
"Paepalanthus regelianus","Paepalanthus regelianus"
"Paepalanthus restingensis","Paepalanthus serrinhensis"
"Paepalanthus revolutus","Paepalanthus revolutus"
"Paepalanthus rhizocephalus","Paepalanthus rhizocephalus"
"Paepalanthus rhizomatosus","Paepalanthus rhizomatosus"
"Paepalanthus riedelianus","Paepalanthus riedelianus"
"Paepalanthus rigidus","Paepalanthus rigidus"
"Paepalanthus robustus","Paepalanthus robustus"
"Paepalanthus ruficeps","Paepalanthus ruficeps"
"Paepalanthus rufoalbus","Paepalanthus rufo-albus"
"Paepalanthus rugrescens","Paepalanthus nigrescens"
"Paepalanthus rupestre","Paepalanthus rupestris"
"Paepalanthus rupestris","Paepalanthus rupestris"
"Paepalanthus salticola","Paepalanthus salticola"
"Paepalanthus saxatilis","Paepalanthus saxatilis"
"Paepalanthus saxicola","Paepalanthus saxicola"
"Paepalanthus saxicola pilosus","Paepalanthus saxicola var. pilosus"
"Paepalanthus scandens almasensis","Paepalanthus scandens var. almasensis"
"Paepalanthus scandens","Paepalanthus scandens"
"Paepalanthus scholiophyllus","Paepalanthus scholiophyllus"
"Paepalanthus schuechianus","Paepalanthus schuechianus"
"Paepalanthus scirpeum","Paepalanthus scirpeus"
"Paepalanthus scirpeus","Paepalanthus scirpeus"
"Paepalanthus scleranthus","Paepalanthus scleranthus"
"Paepalanthus scytophyllus","Paepalanthus scytophyllus"
"Paepalanthus sedoides","Paepalanthus sedoides"
"Paepalanthus senaeanus","Paepalanthus senaeanus"
"Paepalanthus senaianus","Paepalanthus senaeanus"
"Paepalanthus seneanus","Paepalanthus senaeanus"
"Paepalanthus sericeus","Paepalanthus sericeus"
"Paepalanthus serpens","Paepalanthus serpens"
"Paepalanthus sessiliflorus","Paepalanthus sessiliflorus"
"Paepalanthus sicaefolius","Paepalanthus sicaefolius"
"Paepalanthus silveirae","Paepalanthus silveirae"
"Paepalanthus similis","Paepalanthus similis"
"Paepalanthus singularius","Paepalanthus singularius"
"Paepalanthus spathulatus","Paepalanthus spathulatus"
"Paepalanthus speciosus angustifolius","Paepalanthus speciosus var. angustifolius"
"Paepalanthus speciosus attenuatus","Paepalanthus speciosus var. attenuatus"
"Paepalanthus speciosus calvescens","Paepalanthus speciosus var. calvescens"
"Paepalanthus speciosus chlorocephalus","Paepalanthus speciosus var. chlorocephalus"
"Paepalanthus speciosus glaber","Paepalanthus speciosus var. glaber"
"Paepalanthus speciosus","Paepalanthus speciosus"
"Paepalanthus speciosus pulverulentus","Paepalanthus speciosus var. pulverulentus"
"Paepalanthus speciosus var. chlorocephala","Paepalanthus speciosus var. chlorocephalus"
"Paepalanthus speleicola","Paepalanthus speleicolus"
"Paepalanthus sphaenocephalus","Paepalanthus sphaerocephalus"
"Paepalanthus sphaerocephalus","Paepalanthus sphaerocephalus"
"Paepalanthus sphaeroides","Paepalanthus sphaeroides"
"Paepalanthus spirifer","Paepalanthus spirifer"
"Paepalanthus spirophorus","Paepalanthus spirophorus"
"Paepalanthus spixiana","Paepalanthus spixianus"
"Paepalanthus spixianus","Paepalanthus spixianus"
"Paepalanthus stannardii","Paepalanthus stannardii"
"Paepalanthus stellatus","Paepalanthus stellatus"
"Paepalanthus stephanophorus","Paepalanthus stephanophorus"
"Paepalanthus stereophyllus","Paepalanthus stereophyllus"
"Paepalanthus striatus","Paepalanthus striatus"
"Paepalanthus strictus","Paepalanthus strictus"
"Paepalanthus stuetzelii","Paepalanthus stuetzelii"
"Paepalanthus subfalcatus","Paepalanthus subfalcatus"
"Paepalanthus subfalcatus villosus","Paepalanthus subfalcatus var. villosus"
"Paepalanthus subtilis","Paepalanthus subtilis"
"Paepalanthus subulatus","Paepalanthus subulatus"
"Paepalanthus succisus","Paepalanthus succisus"
"Paepalanthus suffruticans","Paepalanthus suffruticans"
"Paepalanthus superbus gracilis","Paepalanthus superbus var. gracilis"
"Paepalanthus superbus","Paepalanthus superbus"
"Paepalanthus superbus niveoniger","Paepalanthus superbus var. niveoniger"
"Paepalanthus superbus niveo-niger","Paepalanthus superbus var. niveoniger"
"Paepalanthus superbus superbus","Paepalanthus superbus var. superbus"
"Paepalanthus supinus","Paepalanthus supinus"
"Paepalanthus tatei","Paepalanthus tatei"
"Paepalanthus tenuicaulis","Paepalanthus tenuicaulis"
"Paepalanthus tessmannii","Paepalanthus tessmannii"
"Paepalanthus tortilis","Paepalanthus tortilis"
"Paepalanthus triangularis","Paepalanthus triangularis"
"Paepalanthus trichopeplus","Paepalanthus trichopeplus"
"Paepalanthus trichopetalus","Paepalanthus trichopetalus"
"Paepalanthus trichophyllus","Paepalanthus trichophyllus"
"Paepalanthus tricophyllus","Paepalanthus trichophyllus"
"Paepalanthus tuberculatus","Paepalanthus tuberculatus"
"Paepalanthus tuberosus","Paepalanthus tuberosus"
"Paepalanthus uleanus","Paepalanthus uleanus"
"Paepalanthus umbrosus","Paepalanthus umbrosus"
"Paepalanthus uncinatus","Paepalanthus uncinatus"
"Paepalanthus uncinatus rectus","Paepalanthus uncinatus var. rectus"
"Paepalanthus undesignated","Paepalanthus uncinatus"
"Paepalanthus undulatus","Paepalanthus undulatus"
"Paepalanthus urbanianus","Paepalanthus urbanianus"
"Paepalanthus usterii","Paepalanthus usterii"
"Paepalanthus vaginatus","Paepalanthus vaginatus"
"Paepalanthus variabilis","Paepalanthus variabilis"
"Paepalanthus variabilis var. glabrescens","Paepalanthus variabilis var. glabrescens"
