"datsrc","institutioncode","collectioncode","catalognumber","genus","species","identifiedby","collectornumber","collector","stateprovince","county","locality","longitude","latitude","infraspecificEpithet","scientificname_gbif","municipality_gbif","scientificnameauthor_sp"
"splink","CEPLAC","CEPEC","94697","Diplusodon","ulei","A. K. A. Santos","37","A. K. A. Santos","Bahia","RIO DE CONTAS","Trilha da estrada Real.",-41.933333,-13.516667,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","95836","Diplusodon","parvifolius","T. B. Cavalcanti","1248","R. M. Harley","Bahia","ABAÍRA","Serra ao Sul do Riacho da Taquara.",-41.916667,13.25,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","95837","Diplusodon","parvifolius","T. B. Cavalcanti","2310","P. T. Sano","Bahia","ABAÍRA","Campo do Cigano",-41.916667,13.25,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","95838","Diplusodon","ulei","T. B. Cavalcanti","50391","R. M. Harley","Bahia","PIATÃ","Quebrada da Serra do Atalho.",-41.833333,13.216667,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","96887","Diplusodon","ulei","T. B. Cavalcanti",NA,"L. P. de Queiroz","Bahia","ABAÍRA","Ladeira rochosa entre Ouro Fino e Pedra Grande.",-41.9,13.233333,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","96895","Diplusodon","ulei","T. B. Cavalcanti","26124","R. M. Harley","Bahia","RIO DE CONTAS","Pico das Almas. Vertente leste. Trilho Faz. Silvina - Queiroz.",-41.933333,-13.533333,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","96898","Diplusodon","parvifolius","T. B. Cavalcanti",NA,"E. N. Lughadha","Bahia","ABAÍRA","Campo de Ouro Fino (baixo).",-41.9,13.25,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","96899","Diplusodon","ulei","T. B. Cavalcanti","26682","R. M. Harley","Bahia","RIO DE CONTAS","Pico das Almas. Vertente leste. Campo do Queiroz,ao leste.",-41.95,-13.533333,NA,NA,NA,NA
"splink","CPAN-UFMS","COR","10472","Diplusodon","candollei","T.B.Cavalcanti","67187","Hatschbach, G.; Hatschbach, M.; Barbosa, E.","Minas Gerais","Joaquim Felício","Serra do Cabral. Campo rupestre; arenoso.;.",NA,NA,NA,NA,NA,"Pohl ex DC."
"gbif","Cenargen","CEN","100208","Diplusodon","paraisoensis","T. B. Cavalcanti","16568","Glocimar Pereira-Silva","Goiás",NA,"Estrada de acesso à repetidora do Roncador, cerca de 2,5 km a leste da GO 118 (BR - 010).",-47.561944,-14.882777,NA,"Diplusodon paraisoensis Lourteig","AGUA FRIA DE GOIAS",NA
"gbif","Cenargen","CEN","100209","Diplusodon","paraisoensis","T. B. Cavalcanti","16569","Glocimar Pereira-Silva","Goiás",NA,"Estrada de acesso à repetidora do Roncador, cerca de 3 km a leste da GO 118 (BR - 010).",-47.555555,-14.885,NA,"Diplusodon paraisoensis Lourteig","AGUA FRIA DE GOIAS",NA
"gbif","Cenargen","CEN","100211","Diplusodon","ericoides","G. P. Silva","16571","Glocimar Pereira-Silva","Goiás",NA,"Estrada de acesso à repetidora do Roncador, cerca de 3 km a leste da GO 118 (BR - 010).",-47.555555,-14.885,NA,"Diplusodon ericoides Lourteig","AGUA FRIA DE GOIAS",NA
"gbif","Cenargen","CEN","100214","Diplusodon","hatschbachii","T. B. Cavalcanti","16574","Glocimar Pereira-Silva","Goiás",NA,"Estrada de acesso à repetidora do Roncador, cerca de 3 km a leste da GO 118 (BR - 010).",-47.555555,-14.885,NA,"Diplusodon hatschbachii Lourteig","AGUA FRIA DE GOIAS",NA
"gbif","Cenargen","CEN","100218","Diplusodon","leucocalycinus","T. B. Cavalcanti","16578","Glocimar Pereira-Silva","Goiás",NA,"Estrada de acesso à repetidora do Roncador, cerca de 5 km a leste da GO 118 (BR - 010).",-47.550555,-14.888055,NA,"Diplusodon leucocalycinus Lourteig","AGUA FRIA DE GOIAS",NA
"gbif","Cenargen","CEN","100454","Diplusodon","bahiensis","T. B. Cavalcanti","16818","Glocimar Pereira-Silva","Bahia",NA,"Torre de repetição de televisão e celular (Morrão).",-41.207777,-11.591388,NA,"Diplusodon bahiensis T.B.Cavalc.","MORRO DO CHAPEU",NA
"gbif","Cenargen","CEN","100698","Diplusodon","virgatus","T. B. Cavalcanti","680","Terezinha Aparecida Borges Dias","Goiás",NA,"Margem esquerda do rio Corumbá, cerca de 1 Km a montante da barragem da UHE Corumbá.",-48.533333,-17.983333,"virgatus","Diplusodon virgatus var. virgatus","CALDAS NOVAS",NA
"splink","Cenargen","CEN","101291","Diplusodon","burchellii","T. B. Cavalcanti","3020","Marcelo Fragomeni Simon","Goiás","CAVALCANTE","RPPN Serra do Tombador, 3 km da sede da reserva, em direção a Cavalcante.",-47.819722,-13.636944,NA,NA,NA,"Koehne"
"gbif","Cenargen","CEN","101349","Diplusodon","ramosissimus","T. B. Cavalcanti","3078","Marcelo Fragomeni Simon","Goiás",NA,"Ao longo da BR - 050, 22 km N de Catalão, 16 km E em estrada vicinal em direção à barragem rio São Marcos.",-47.701111,-18.047222,NA,"Diplusodon ramosissimus Pohl","CATALAO",NA
"gbif","Cenargen","CEN","101578","Diplusodon","lanceolatus","T. B. Cavalcanti","16857","Glocimar Pereira-Silva","Goiás",NA,"GO 020 a 22 km da BR 050, 500 m a norte da rodovia.",-47.589166,-17.334722,NA,"Diplusodon lanceolatus Pohl","IPAMERI",NA
"gbif","Cenargen","CEN","101585","Diplusodon","oblongus","T. B. Cavalcanti","16864","Glocimar Pereira-Silva","Goiás",NA,"Margens do rio Imbiruçu, BR 050.",-47.776388,-17.408055,NA,"Diplusodon oblongus Pohl","IPAMERI",NA
"gbif","Cenargen","CEN","101597","Diplusodon","lanceolatus","T. B. Cavalcanti","16877","Glocimar Pereira-Silva","Goiás",NA,"Rodovia GO 213, a 24,2 km a leste da BR 050.",-47.64,-17.507777,NA,"Diplusodon lanceolatus Pohl","CAMPO ALEGRE DE GOIAS",NA
"gbif","Cenargen","CEN","101600","Diplusodon","ovatus","T. B. Cavalcanti","16880","Glocimar Pereira-Silva","Goiás",NA,"Rodovia GO 213, a 24,2 km a leste da BR 050.",-47.64,-17.507777,NA,"Diplusodon ovatus Pohl","CAMPO ALEGRE DE GOIAS",NA
"gbif","Cenargen","CEN","101635","Diplusodon","ovatus","T. B. Cavalcanti","16915","Glocimar Pereira-Silva","Goiás",NA,"Margem esquerda do rio Imbiruçu, BR 050.",-47.779722,-17.406944,NA,"Diplusodon ovatus Pohl","IPAMERI",NA
"gbif","Cenargen","CEN","101724","Diplusodon","micromerus","T. B. Cavalcanti","3666","Aécio Amaral-Santos","Goiás",NA,"23,8 km após Cavalcante, em direção ao Engenho Vão do Moleque II. 2,3 km após bifurcação sentido cachoeira Santa Bárbara.",-47.474166,-15.610277,NA,"Diplusodon micromerus T.B.Cavalc.","CAVALCANTE",NA
"gbif","Cenargen","CEN","101726","Diplusodon","paraisoensis","T. B. Cavalcanti","3665","Aécio Amaral-Santos","Goiás",NA,"GO - 118, depois do km 50, sentido São Gabriel - São João D'Aliança",-47.713888,-15.683333,NA,"Diplusodon paraisoensis Lourteig","PLANALTINA",NA
"gbif","Cenargen","CEN","101730","Diplusodon","oblongus","T. B. Cavalcanti","3671","Aécio Amaral-Santos","Goiás",NA,"12,5 km após Alto Paraíso de Goiás, sentido São Jorge.",-47.621388,-14.165277,NA,"Diplusodon oblongus Pohl","ALTO PARAISO DE GOIAS",NA
"gbif","Cenargen","CEN","101736","Diplusodon","longipes","T. B. Cavalcanti","3677","Aécio Amaral-Santos","Goiás",NA,"Saída para Uruaçú, fazenda após uma lagoa.",-48.818888,-14.581666,NA,"Diplusodon longipes Koehne","NIQUELANDIA",NA
"gbif","Cenargen","CEN","101856","Diplusodon","venosus","T. B. Cavalcanti","9882","Júlio Antônio Lombardi","Goiás",NA,"Estrada municipal não pavimentada Cavalcante/Minaçu.",-47.523611,-13.572222,NA,"Diplusodon venosus T.B.Cavalc.","CAVALCANTE",NA
"gbif","Cenargen","CEN","101857","Diplusodon","imbricatus","T. B. Cavalcanti","9912","Júlio Antônio Lombardi","Goiás",NA,"Reserva Natural Serra do Tombador, estrada minicipal não pavimentada Cavalcante/Minaçu. Altitude 799-807m",-47.829722,-13.677222,NA,"Diplusodon imbricatus Pohl","CAVALCANTE",NA
"gbif","Cenargen","CEN","101859","Diplusodon","paraisoensis","T. B. Cavalcanti","623","Mariana Ninno Rissi - UNESP","Goiás",NA,"Reserva Natural Serra do Tombador. (Campina)",NA,NA,NA,"Diplusodon paraisoensis Lourteig","CAVALCANTE",NA
"gbif","Cenargen","CEN","101883","Diplusodon","paraisoensis","T. B. Cavalcanti","3131","Aécio Amaral-Santos","Goiás",NA,"GO - 118 sentido Teresina - A. Paraíso de Goiás.",-47.251944,-13.49,NA,"Diplusodon paraisoensis Lourteig","TERESINA DE GOIAS",NA
"gbif","Cenargen","CEN","101903","Diplusodon","virgatus","T. B. Cavalcanti","943","Adriana Assis Arantes",NA,NA,"Área de influência indireta do AHE Serra do Facão, GO/MG.",NA,NA,NA,"Diplusodon virgatus Pohl",NA,NA
"gbif","Cenargen","CEN","101904","Diplusodon","lanceolatus","T. B. Cavalcanti","700","Adriana Assis Arantes",NA,NA,"Área de influência indireta do AHE Serra do Facão, GO/MG.",NA,NA,NA,"Diplusodon lanceolatus Pohl",NA,NA
"gbif","Cenargen","CEN","101905","Diplusodon","lanceolatus","T. B. Cavalcanti","8","M. C. Alves","Minas Gerais",NA,"Reserva Particular do Patrimônio Natural do Clube Caça e Pesca Itororó de Uberlândia.",NA,NA,NA,"Diplusodon lanceolatus Pohl","UBERLANDIA",NA
